time,gender,earnings_biannual,state
Nov-2022,M,1381.80,TAS
May-2023,M,1398.60,TAS
Nov-2023,M,1436.30,TAS
May-2012,F,744.40,TAS
Nov-2012,F,763.50,TAS
May-2013,F,765.20,TAS
Nov-2013,F,764.70,TAS
May-2014,F,764.00,TAS
Nov-2014,F,779.20,TAS
May-2015,F,780.10,TAS
Nov-2015,F,775.50,TAS
May-2016,F,775.20,TAS
Nov-2016,F,802.20,TAS
May-2017,F,827.70,TAS
Nov-2017,F,825.40,TAS
May-2018,F,839.40,TAS
Nov-2018,F,854.90,TAS
May-2019,F,855.00,TAS
Nov-2019,F,880.70,TAS
May-2020,F,912.90,TAS
Nov-2020,F,937.20,TAS
May-2021,F,962.20,TAS
Nov-2021,F,970.20,TAS
May-2022,F,994.40,TAS
Nov-2022,F,1030.90,TAS
May-2023,F,1042.80,TAS
Nov-2023,F,1066.50,TAS
